Time,Fixed-Point-Operation,Edge,Label,Old Bound,New Bound,Occurred Due To,Clause-1,Clause-2,Clause-3
0,0,"('harrison_ford', 'protagonist_centered_focus')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_harrison_ford_protagonist_centered_focus,,,
0,0,"('harrison_ford', 'internal_goals')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_harrison_ford_internal_goals,,,
0,0,"('harrison_ford', 'decision_driven_plot')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_harrison_ford_decision_driven_plot,,,
0,0,"('harrison_ford', 'self_reliance')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_harrison_ford_self_reliance,,,
0,0,"('harrison_ford', 'individual_accolades')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_harrison_ford_individual_accolades,,,
0,0,"('harrison_ford', 'meritocracy_emphasis')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_harrison_ford_meritocracy_emphasis,,,
0,0,"('harrison_ford', 'man_vs_self_world_conflict')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_harrison_ford_man_vs_self_world_conflict,,,
0,0,"('harrison_ford', 'solo_confrontations')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_harrison_ford_solo_confrontations,,,
0,0,"('harrison_ford', 'inner_journey')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_harrison_ford_inner_journey,,,
0,0,"('harrison_ford', 'self_actualization_climax')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_harrison_ford_self_actualization_climax,,,
0,0,"('harrison_ford', 'personal_ethics_over_group_norms')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_harrison_ford_personal_ethics_over_group_norms,,,
0,0,"('harrison_ford', 'uniqueness_self_expression')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_harrison_ford_uniqueness_self_expression,,,
0,0,"('harrison_ford', 'self_construal')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_harrison_ford_self_construal,,,
