Time,Fixed-Point-Operation,Node,Label,Old Bound,New Bound,Occurred Due To
0,0,the_people_who_dug_for_rain,story_name,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,protagonist_centered_focus,protagonist_centered_focus,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,internal_goals,internal_goals,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,decision_driven_plot,decision_driven_plot,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,self_reliance,self_reliance,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,individual_accolades,individual_accolades,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,meritocracy_emphasis,meritocracy_emphasis,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,man_vs_self_world_conflict,man_vs_self_world_conflict,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,solo_confrontations,solo_confrontations,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,inner_journey,inner_journey,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,self_actualization_climax,self_actualization_climax,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,personal_ethics_over_group_norms,personal_ethics_over_group_norms,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,uniqueness_self_expression,uniqueness_self_expression,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,self_construal,self_construal,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,behavioral_guidance,behavioral_guidance,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,relationship_orientation,relationship_orientation,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,primary_conflict,primary_conflict,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,resolution_style,resolution_style,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,moral_emphasis,moral_emphasis,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,relationship_framing,relationship_framing,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,vertical_individualism,vertical_individualism,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,the_people_who_dug_for_rain,story_name,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,protagonist_centered_focus,protagonist_centered_focus,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,internal_goals,internal_goals,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,decision_driven_plot,decision_driven_plot,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,self_reliance,self_reliance,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,individual_accolades,individual_accolades,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,meritocracy_emphasis,meritocracy_emphasis,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,man_vs_self_world_conflict,man_vs_self_world_conflict,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,solo_confrontations,solo_confrontations,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,inner_journey,inner_journey,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,self_actualization_climax,self_actualization_climax,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,personal_ethics_over_group_norms,personal_ethics_over_group_norms,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,uniqueness_self_expression,uniqueness_self_expression,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,self_construal,self_construal,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,behavioral_guidance,behavioral_guidance,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,relationship_orientation,relationship_orientation,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,primary_conflict,primary_conflict,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,resolution_style,resolution_style,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,moral_emphasis,moral_emphasis,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,relationship_framing,relationship_framing,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
1,1,vertical_individualism,vertical_individualism,"[1.0,1.0]","[1.0,1.0]",graph-attribute-fact
